CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.65483+-2.45444*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.0707792+1.46505*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "1.07548+-0.0499674*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.14533+-1.35817*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-4.50356+6.38255*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.93041+-5.47423*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.26471+-0.295875*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.28324+-4.65437*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.575917+1.55894*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "1.72607+-0.841086*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.58297+2.56871*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.58674+-2.6971*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "10.8379+-9.99897*x"
3, iterativefit, down_jesAbsoluteMPFBias, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.795400327739"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, -15, 0, "1.53590723567"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.952218554366"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.874702+0.571657*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.61326+-1.24342*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.907194+3.15451*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.64501+-2.44657*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.6954, 0.7566, "-0.0964122+1.49565*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.7566, 0.8178, "0.982562+0.0695673*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.8178, 0.85895, "2.20775+-1.42858*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.85895, 0.88, "-4.40917+6.27491*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.88, 0.901, "5.69797+-5.21047*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.901, 0.922, "1.35042+-0.385224*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.922, 0.943, "5.3777+-4.7532*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.943, 0.95915, "-0.533341+1.51513*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.95915, 0.97045, "1.22576+-0.318889*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.97045, 0.98175, "-1.41388+2.40113*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.98175, 0.99305, "3.3407+-2.44184*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.99305, 1.00435, "10.7271+-9.87994*x"
3, iterativefit, up_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 1.00435, 1.1, "0.804190777185"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, -15, 0, "1.60201082373"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0, 0.1356, "0.972948345747"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.1356, 0.4069, "0.894325+0.579819*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.4069, 0.5731, "1.67754+-1.34501*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.5731, 0.6342, "-0.870158+3.10045*x"
3, iterativefit, down_jesAbsoluteScale, 0, 0.0, 2.4, 20, 30, 0.6342, 0.6954, "2.62637+-2.41283*x"
